image,question,answers,answer_type,answerable
VizWiz_train_00014709.jpg,What is this?,"[{'answer_confidence': 'maybe', 'answer': 'big eyed monster toy'}, {'answer_confidence': 'yes', 'answer': 'red thing'}, {'answer_confidence': 'no', 'answer': 'animal'}, {'answer_confidence': 'maybe', 'answer': 'toy'}, {'answer_confidence': 'yes', 'answer': 'red plastic pacman ghost toy'}, {'answer_confidence': 'yes', 'answer': 'pac man ghost'}, {'answer_confidence': 'yes', 'answer': 'ghost figurine from pacman'}, {'answer_confidence': 'maybe', 'answer': 'helmet'}, {'answer_confidence': 'yes', 'answer': 'pac man enemy'}, {'answer_confidence': 'yes', 'answer': 'toy'}]",other,1
VizWiz_train_00009566.jpg,What product is this? Is it moisturizing lotion? ,"[{'answer_confidence': 'yes', 'answer': 'yes'}, {'answer_confidence': 'yes', 'answer': 'natura ginseng hydrating skin lotion yes'}, {'answer_confidence': 'yes', 'answer': 'natura ginseng hydrating skin lotion'}, {'answer_confidence': 'yes', 'answer': 'yes'}, {'answer_confidence': 'yes', 'answer': 'hydrating skin lotion'}, {'answer_confidence': 'yes', 'answer': 'yes ginseng lotion'}, {'answer_confidence': 'yes', 'answer': 'natura ginseng hydrating skin lotion'}, {'answer_confidence': 'yes', 'answer': 'lotion'}, {'answer_confidence': 'yes', 'answer': 'hydrating lotion'}, {'answer_confidence': 'yes', 'answer': 'lotion'}]",other,1
VizWiz_train_00011322.jpg,What's in this box?,"[{'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'paper', 'answer_confidence': 'no'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': '0', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'maybe'}]",unanswerable,0
VizWiz_train_00005267.jpg,What is in this kitchen?  In this room?,"[{'answer_confidence': 'yes', 'answer': 'fireplace'}, {'answer_confidence': 'yes', 'answer': 'door'}, {'answer_confidence': 'yes', 'answer': 'fireplace'}, {'answer_confidence': 'maybe', 'answer': 'bookcase fireplace fan rug'}, {'answer_confidence': 'yes', 'answer': 'living room'}, {'answer_confidence': 'yes', 'answer': 'fireplace shelves air appliance rugs'}, {'answer_confidence': 'maybe', 'answer': 'fireplace'}, {'answer_confidence': 'yes', 'answer': 'air purifier fire place'}, {'answer_confidence': 'maybe', 'answer': 'fireplace'}, {'answer_confidence': 'yes', 'answer': 'fireplace in living room'}]",other,1
VizWiz_train_00009281.jpg,Is this shampoo or conditioner? ,"[{'answer_confidence': 'yes', 'answer': 'shampoo'}, {'answer_confidence': 'maybe', 'answer': 'shampoo'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'shampoo'}, {'answer_confidence': 'maybe', 'answer': 'shampoo'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}, {'answer_confidence': 'yes', 'answer': 'shampoo'}]",other,1
VizWiz_train_00018827.jpg,What flavor is this?,"[{'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'maybe', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}, {'answer_confidence': 'yes', 'answer': 'pink lemonade'}]",other,1
VizWiz_train_00005396.jpg,What dvd is this?,"[{'answer_confidence': 'yes', 'answer': 'gone wind'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'hangover'}, {'answer_confidence': 'maybe', 'answer': 'hangover'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}]",unanswerable,0
VizWiz_train_00011843.jpg,What is this frozen dinner and what are the conventional oven instructions time and length of time? Thank you very much.,"[{'answer_confidence': 'yes', 'answer': 'channa masala'}, {'answer_confidence': 'yes', 'answer': 'channa masala 375 for 25 mins'}, {'answer_confidence': 'yes', 'answer': 'channa masala'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'channa masala preheat oven to 375 put tray in middle shelf cook 20 25 minutes stir when done'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'channa masala 15 minutes 375'}, {'answer_confidence': 'yes', 'answer': 'channa masala 375 degrees for 20 25 mins'}, {'answer_confidence': 'yes', 'answer': 'trader joe»s chana marsala 375 degrees 20 to 25 minutes'}]",other,1
VizWiz_train_00002593.jpg,What is it?,"[{'answer_confidence': 'yes', 'answer': 'accordian'}, {'answer_confidence': 'yes', 'answer': 'typewritter'}, {'answer_confidence': 'maybe', 'answer': 'piano'}, {'answer_confidence': 'yes', 'answer': 'accordion'}, {'answer_confidence': 'yes', 'answer': 'accordian'}, {'answer_confidence': 'yes', 'answer': 'keyboard'}, {'answer_confidence': 'yes', 'answer': 'piano'}, {'answer_confidence': 'yes', 'answer': 'accordian'}, {'answer_confidence': 'yes', 'answer': 'accordian'}, {'answer_confidence': 'yes', 'answer': 'accordion'}]",other,1
VizWiz_train_00008153.jpg,ARE YOU ABLE TO TELL ME WHAT THESE BUTTONS SAY STARTING WITH THE ONES ON THE LEFT AND THEN WHAT THE ONES ON THE RIGHT SAY?,"[{'answer_confidence': 'maybe', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'no'}, {'answer_confidence': 'maybe', 'answer': 'top time top right speed pulse run stop ice bottom on off'}, {'answer_confidence': 'yes', 'answer': 'pulse run stop ice on off'}, {'answer_confidence': 'yes', 'answer': 'no'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'time speed'}, {'answer_confidence': 'yes', 'answer': 'time pulse run stop ice speed on off'}, {'answer_confidence': 'yes', 'answer': 'time speed pulse unstop ace on off'}]",other,1
