image,question,answers,answer_type,answerable
VizWiz_train_00023579.jpg,"Sometimes they're able to and sometimes they aren't. If I had whatchamacallit reader, which is like, $20.What reader?Whatever that reader's called that's supposed to read stuff.","[{'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'yes'}, {'answer': 'bar code scanner', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'scanner', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable image', 'answer_confidence': 'maybe'}, {'answer': 'unsuitable image', 'answer_confidence': 'no'}, {'answer': 'barcode scanner', 'answer_confidence': 'maybe'}]",unanswerable,0
VizWiz_train_00001384.jpg,What is the title of this book? Thank you,"[{'answer_confidence': 'maybe', 'answer': 'c materials in basic theory'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}]",unanswerable,0
VizWiz_train_00015850.jpg,What color is this?,"[{'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'pink'}, {'answer_confidence': 'yes', 'answer': 'blue bedding'}, {'answer_confidence': 'maybe', 'answer': 'pink'}, {'answer_confidence': 'yes', 'answer': 'pink'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'lavendar'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}]",other,1
VizWiz_train_00010122.jpg,What's being displayed on my screen?,"[{'answer_confidence': 'maybe', 'answer': '7 professional'}, {'answer_confidence': 'yes', 'answer': 'professional'}, {'answer_confidence': 'maybe', 'answer': 'browser'}, {'answer_confidence': 'maybe', 'answer': 'word'}, {'answer_confidence': 'yes', 'answer': 'windows 7 professional'}, {'answer_confidence': 'yes', 'answer': '7 professional'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': '7 professional'}, {'answer_confidence': 'maybe', 'answer': 'professional'}, {'answer_confidence': 'yes', 'answer': '7 professional'}]",other,1
VizWiz_train_00016891.jpg,What is this item?,"[{'answer_confidence': 'yes', 'answer': 'guava juice bottle'}, {'answer_confidence': 'yes', 'answer': 'guava'}, {'answer_confidence': 'yes', 'answer': 'guava juice'}, {'answer_confidence': 'maybe', 'answer': 'soda'}, {'answer_confidence': 'yes', 'answer': 'guava'}, {'answer_confidence': 'maybe', 'answer': 'guava juice'}, {'answer_confidence': 'maybe', 'answer': 'can'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'drink'}, {'answer_confidence': 'yes', 'answer': 'guava'}]",other,1
VizWiz_train_00009551.jpg,What flavor of cat food is this please?,"[{'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'cant tell'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'salmon'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'maybe', 'answer': 'adult'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}]",unanswerable,0
VizWiz_train_00004248.jpg,Read it.,"[{'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00019739.jpg,What's the expatriation date on this chicken?,"[{'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'no', 'answer': '01 2016'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00012851.jpg,what is this?,"[{'answer_confidence': 'maybe', 'answer': 'nail polish'}, {'answer_confidence': 'yes', 'answer': 'lip gloss'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'lip gloss'}, {'answer_confidence': 'maybe', 'answer': 'lip gloss'}, {'answer_confidence': 'yes', 'answer': 'pink sparkly lip gloss'}, {'answer_confidence': 'yes', 'answer': 'lip gloss'}, {'answer_confidence': 'maybe', 'answer': 'lip gloss'}, {'answer_confidence': 'yes', 'answer': 'lipgloss'}, {'answer_confidence': 'yes', 'answer': 'lipgloss'}]",other,1
VizWiz_train_00009060.jpg,What is this?,"[{'answer_confidence': 'yes', 'answer': 'ice cream'}, {'answer_confidence': 'yes', 'answer': 'icecream'}, {'answer_confidence': 'yes', 'answer': 'cookie dough ice cream'}, {'answer_confidence': 'yes', 'answer': 'cookie dough ice cream'}, {'answer_confidence': 'yes', 'answer': 'ice cream container'}, {'answer_confidence': 'yes', 'answer': 'ben jerrys cookie dough ice cream'}, {'answer_confidence': 'yes', 'answer': 'cookie dough ice cream'}, {'answer_confidence': 'yes', 'answer': 'cookie dough ice cream'}, {'answer_confidence': 'yes', 'answer': 'ice cream'}, {'answer_confidence': 'yes', 'answer': 'ice cram'}]",other,1
VizWiz_train_00019212.jpg,What flavor is this?,"[{'answer_confidence': 'yes', 'answer': 'this flavor food item'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'regular'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}]",unanswerable,0
VizWiz_train_00018907.jpg,What is this?,"[{'answer_confidence': 'maybe', 'answer': 'victor reader'}, {'answer_confidence': 'maybe', 'answer': 'victorreader'}, {'answer_confidence': 'yes', 'answer': 'health reader'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'victorreader'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'victorreader'}, {'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'electronic controller'}]",other,1
VizWiz_train_00006636.jpg,What pattern in on this table cloth?,"[{'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'yes', 'answer': 'easter bunny'}, {'answer_confidence': 'yes', 'answer': 'easter bunny'}, {'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'yes', 'answer': 'easter bunny'}, {'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'yes', 'answer': 'easter'}, {'answer_confidence': 'maybe', 'answer': 'polka dots'}]",other,1
VizWiz_train_00006159.jpg,What is currently being displayed on the tv screen?,"[{'answer_confidence': 'maybe', 'answer': 'black screen speckles'}, {'answer_confidence': 'maybe', 'answer': 'outer space'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'yes', 'answer': 'snow'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'yes', 'answer': 'static'}, {'answer_confidence': 'maybe', 'answer': 'fuzz'}]",other,1
VizWiz_train_00010773.jpg,What does this pregnancy test show? Positive or negative? ,"[{'answer_confidence': 'yes', 'answer': '1 pink line'}, {'answer_confidence': 'yes', 'answer': 'unknown'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'maybe', 'answer': 'negative'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'yes', 'answer': 'negative'}, {'answer_confidence': 'no', 'answer': 'unanswerable'}]",other,1
VizWiz_train_00000485.jpg,What kind of cologne is this?,"[{'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'curve', 'answer_confidence': 'maybe'}, {'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'curve', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'no'}]",other,1
VizWiz_train_00011426.jpg,"Is that a cat or a dog, and what color is it?","[{'answer_confidence': 'yes', 'answer': 'grey cat'}, {'answer_confidence': 'yes', 'answer': 'grey cat'}, {'answer_confidence': 'yes', 'answer': 'cat black'}, {'answer_confidence': 'yes', 'answer': 'cat black'}, {'answer_confidence': 'yes', 'answer': 'grey cat'}, {'answer_confidence': 'yes', 'answer': 'grey cat'}, {'answer_confidence': 'maybe', 'answer': 'cat grey'}, {'answer_confidence': 'maybe', 'answer': 'grey cat'}, {'answer_confidence': 'yes', 'answer': 'black cat'}, {'answer_confidence': 'yes', 'answer': 'grey cat'}]",other,1
